,Event time,min_a_price,max_b_price,a_quantity,b_quantity,volume_imbalance,mid_price,micro_price,Kline start time,Kline close time,Interval,Open price,Close price,High price,Low price,Base asset volume,Number of trades,Quote asset volume,Taker buy base asset volume,Taker buy quote asset volume
65,2024-05-19 22:45:08.000,66708.03,66708.02,8.91475,0.54641,-0.8844940789501499,66708.025,66708.0205775296,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66708.03,66712.94,66708.02,1.7343,68.0,115695.4603923,0.05612,3743.7789693
66,2024-05-19 22:45:09.001,66708.03,66708.02,8.85561,0.74018,-0.8457281787117058,66708.025,66708.02077135911,,,,,,,,,,,,
67,2024-05-19 22:45:10.001,66708.03,66708.02,8.84807,0.0835,-0.9813022794424718,66708.025,66708.0200934886,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66708.03,66712.94,66708.02,1.84452,78.0,123048.0193811,0.15856,10577.3495625
68,2024-05-19 22:45:11.001,66702.81,66708.02,6.83227,0.0,-1.0,66705.41500000001,66708.02,,,,,,,,,,,,
69,2024-05-19 22:45:12.001,66702.81,66702.8,7.3964,2.20508,-0.5406791452984331,66702.805,66702.80229660428,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66702.8,66712.94,66702.8,2.69802,108.0,179980.9887964,0.16086,10730.7660255
70,2024-05-19 22:45:13.001,66702.81,66702.8,8.57159,2.14309,-0.5999712543911717,66702.805,66702.80200014373,,,,,,,,,,,,
71,2024-05-19 22:45:14.001,66702.81,66702.8,8.57157,2.02144,-0.6183445498493818,66702.805,66702.80190827725,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66702.8,66712.94,66702.8,2.89419,119.0,193066.0770724,0.16086,10730.7660255
72,2024-05-19 22:45:15.001,66702.81,66702.8,8.59194,1.91475,-0.6355179414258915,66702.805,66702.8018224103,,,,,,,,,,,,
73,2024-05-19 22:45:16.001,66702.81,66702.8,5.23062,2.95369,-0.278206715043785,66702.805,66702.80360896644,,,,,,,,,,,,
74,2024-05-19 22:45:17.003,66702.81,66702.8,1.99551,3.97665,0.33172922359749235,66702.805,66702.80665864612,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66702.81,66712.94,66702.8,3.20536,130.0,213821.9888435,0.31037,20703.5031486
75,2024-05-19 22:45:18.001,66702.81,66702.8,4.42522,3.25581,-0.1522465086062677,66702.805,66702.80423876746,,,,,,,,,,,,
76,2024-05-19 22:45:19.001,66702.81,66702.8,2.11085,6.34535,0.5007568411343156,66702.805,66702.80750378422,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66702.81,66712.94,66702.8,3.25066,139.0,216843.6261277,0.35479,23666.4419688
77,2024-05-19 22:45:20.003,66702.81,66702.8,5.01084,2.08205,-0.4129191345135762,66702.805,66702.80293540432,,,,,,,,,,,,
78,2024-05-19 22:45:21.004,66702.81,66702.8,5.6415,1.42925,-0.5957288830746386,66702.805,66702.80202135559,,,,,,,,,,,,
79,2024-05-19 22:45:22.003,66702.81,66702.8,6.48826,1.21182,-0.6852448286251572,66702.805,66702.80157377587,,,,,,,,,,,,
80,2024-05-19 22:45:23.001,66700.01,66702.8,9.16179,0.0,-1.0,66701.405,66702.8,,,,,,,,,,,,
81,2024-05-19 22:45:24.001,66700.01,66700.0,11.17726,1.28143,-0.7942913741332355,66700.005,66700.00102854313,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66700.0,66712.94,66700.0,4.63246,434.0,309013.5231247,0.38089,25407.3853098
82,2024-05-19 22:45:25.001,66700.01,66700.0,11.25149,1.66099,-0.7427310632814146,66700.005,66700.00128634469,,,,,,,,,,,,
83,2024-05-19 22:45:26.001,66700.01,66700.0,11.21162,1.90358,-0.7097139197267293,66700.005,66700.0014514304,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66700.01,66712.94,66700.0,4.77726,486.0,318671.6840177,0.47019,31363.6962028
